,highway,geometry,name,operator,barrier,wheelchair,ele,gnis:county_id,gnis:created,gnis:feature_id,gnis:state_id,leisure,wikidata,heritage,heritage:operator,heritage:website,historic,nrhp:criteria,nrhp:inscription_date,ref:nrhp,source_ref,addr:city,addr:postcode,addr:state,man_made,gnis:edited,fixme,operator:type,operator:wikidata,operator:wikipedia,name:es,addr:housenumber,addr:street,tourism,level,access,bicycle,sport,surface,lit,material,note,layer,natural,source,description,opening_hours,website,nodes,name:sr,name:sr-Latn,operator:short,wikipedia,old_name,addr:full,check_date:opening_hours,lpc:inscription_date,name:ja,name:ko,name:ru,name:tr,ref:lpc,name:en,name:zh,phone,start_date,WLAN,internet_access,name:fa,dog,smoking,pets,playground,alt_name,ref,name:el,name:he,name:lt,place,name:etymology:wikidata,name:etymology,name:etymology:wikipedia,old_name:2007-2020,maintenance,source:pkey,acres,check_date,official_name,comment,architect,loc_name,name:fr,area,fence_type,addr:country,lastcheck,building:material,height,outdoor_seating,roof:material,roof:shape,image,landuse,email,name:pt,name:uk,name:hi,name:kn,nrhp:nhl,nrhp:nhl:inscription_date,owner,short_name,architect:wikidata,architect:wikipedia,seamark:platform:category,seamark:type,construction,opening_date,proposed,noname,ways,type,description:ru,name:de,bridge,building:colour,building:part,min_height,old_railway_operator,protect_class,name:be,protected,protection_title,borough,fee,dog:conditional,garden:type,alt_wikidata,gnis:County_num,playground:theme,designation,recycling:compost,nyc:parkid,url,elevation,source:name,pets_allowed,contact:email,contact:website,nycdoitt:bin,survey:date,grass,opening_hours:covid19,name_1,name_2,alt_name_1,internet_access:fee,internet_access:ssid,leisure_2,bench,footway,fence,private,building,covered,alcohol,full_name,was:name,leaf_cycle,leaf_type
15,,POINT (4649351.311658032 5857402.231792116),Donnellan Square,,,,31,061,10/02/2008,2500781,36,park,Q49483730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,POINT (4650938.4289539205 5855574.487252444),Collyer Brothers Park,,,,6,061,10/02/2008,2500803,36,park,Q34819228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,POINT (4649278.447455579 5855887.323466246),Annunciation Park,,,,37,061,10/02/2008,2500810,36,park,Q34803333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,POINT (4649276.579897407 5855320.866341499),Sheltering Arms Park,,,,10,061,10/06/2008,2500813,36,park,Q34860563,,,,,,,,,,,,,,convert park to polygon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,POINT (4649661.363997973 5854850.440984077),Morningside Playground,,,,9,061,10/06/2008,2500837,36,park,Q49528468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,POINT (4649688.892772675 5852956.752709128),Bloomingdale Playground,,,,33,061,10/06/2008,2500842,36,park,Q34809181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,POINT (4650239.105928469 5851763.886507247),Sol Bloom Playground,,,,37,061,10/06/2008,2500847,36,park,Q49562898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,POINT (4650013.143690085 5851545.077001109),Saint Gregory's Park,,,,33,061,10/06/2008,2500851,36,park,Q49555754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,POINT (4650081.0143249035 5851455.022582037),Eightyninth Street Playground,,,,32,061,10/06/2008,2500854,36,park,Q34828085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,POINT (4650315.4020913495 5847866.662995573),Oasis Garden,,,,7,061,10/06/2008,2500945,36,park,Q49534533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,POINT (4652430.565032266 5853132.485884083),Metro North Community Gardens,Metro,,,5,061,10/06/2008,2500958,36,park,Q34849450,,,,,,,,,,,,,,,public,Q10793118,en:Metro (Oregon regional government),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,POINT (4652681.0074372105 5853180.118395574),Cherry Tree Park,,,,3,061,10/06/2008,2500963,36,park,Q34817302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,POINT (4648578.971421145 5862589.081991397),Sherman Creek,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,picnic_site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,POINT (4650076.493078243 5848470.416293956),Jay walk,John Jay college,,,,,,,,park,,,,,,,,,,New York,10019,NY,,,"is this the actual park's name? if so then second word should be capitalized
""Jay walk"" sounds like a weird park name though",,,,,524,West 59th Street,,,,,,,,,,,,,,Mo-Su 08:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,POINT (4654103.384004503 5848795.527481809),Campus Plaza,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,POINT (4652431.415353888 5840545.487555824),Belvedere Plaza,Battery Park City Authority,,,,,,,,park,,,,,,,,,,,,,,,,public,,,,,,,,,,,,,,,,,,,,https://bpca.ny.gov/place/belvedere-plaza/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,POINT (4650674.3091694135 5845712.588003902),The Spur,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,POINT (4650553.606944982 5844178.691667079),Pier 57 Rooftop Park,Hudson River Park Trust,,,,,,,,park,,,,,,,,,,New York,10011,NY,,,,,,,,25,11th Avenue,,,,,,,,,,2,,,,Mo-Su 07:00-22:00,https://www.pier57nyc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,POINT (4652627.190484294 5840370.331989416),Kowsky Plaza,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
